time,logger,level,message,exception
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1045 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1045', update: False, ",
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1046 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1046', update: False, ",
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1047 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1047', update: False, ",
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1048 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1048', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1049 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1049', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1050 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1050', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1051 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1051', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1052 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1052', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1053 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1053', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1054 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1054', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1055 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1055', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1056 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1056', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1057 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1057', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1058 and etag ,
2011-08-06 14:05:42.4302,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1058', update: False, ",
2011-08-06 14:05:42.4302,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1059 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1059', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1060 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1060', update: False, ",
